identifier,artist,artistFirstName,artistLastName,completed,location,main_image_url
2798 The Alemeda,Lyle and Brian Kissack and Probst,Lyle and Brian,Kissack and Probst,07/01/05 12:00 AM,"-76.59306895234195, 39.32312094688387",https://data.baltimorecity.gov/views/zqh4-9ud5/files/opB1urZVN1EOz2C8MFPU9JQee6Lr1P5RbP-_jhg72Do?filename=Probst-Kissack+MACA.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
2124 Mura St.,Charles Lawrence,Charles,Lawrence,06/22/05 12:00 AM,"-76.58733167736347, 39.30508765888288",https://data.baltimorecity.gov/views/zqh4-9ud5/files/oQjstVFiHF-mpJMUaEw8JEVyRaesEidCIOoE42LqblA?filename=lawrance++2122+mura+st+2.4.04+2.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
601 E. 33rd Street,Michael Owens,Michael,Owens,06/30/05 12:00 AM,"-76.6077462874286, 39.328317146899735",https://data.baltimorecity.gov/views/zqh4-9ud5/files/Otl20JDbEEH8L0mEiu_uP_ZGkBmV5pyTreTRRPxV2Ws?filename=Michael+Owen+Waverly+Giant+Mural+Panel+3.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
801 McCulloh St.,Gary Mullen,Gary,Mullen,06/21/05 12:00 AM,"-76.62299878904554, 39.29868448603429",https://data.baltimorecity.gov/views/zqh4-9ud5/files/p9ctYeW9Ymj7sAGnxDV6XTSXiRsKbw7sfvWg9EGrCY8?filename=mullen+-+801+mccullough+2.4.04.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
1940 Druid Hill Avenue,Michelle Santos,Michelle,Santos,07/03/05 12:00 AM,"-76.63519359576281, 39.30739891649819",https://data.baltimorecity.gov/views/zqh4-9ud5/files/pAgBV3A_6oqhB02RW-Op56XpMxIEtOtnizin3DMGKO4?filename=1940+Druid+Hill+M.+Santos.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
2009 Annapolis Rd.,Patricia Stoakley,Patricia,Stoakley,06/17/05 12:00 AM,"-76.6316412737471, 39.26682150653619",https://data.baltimorecity.gov/views/zqh4-9ud5/files/pakZ97C2-5Q1gEsfWBC_tfZWHwod7JE_7WpolJ2QVCk?filename=stoakley-2009+annapolis+rd.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
401 Whitridge Street,Lyle Kissack,Lyle,Kissack,07/02/05 12:00 AM,"-76.61107265930985, 39.32152483305248",https://data.baltimorecity.gov/views/zqh4-9ud5/files/PcOOpS8yc3_kVnEjVr6CN62yXeSgRWW3hKCDCz9CRHg?filename=401+Whitridge+l.+Kissack.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
400 N. Pulaski St.,Archie Veale,Archie,Veale,06/16/05 12:00 AM,"-76.65038238493479, 39.292804555825306",https://data.baltimorecity.gov/views/zqh4-9ud5/files/pm-WHuygg1Lle38AFItdwpZkBD1fKIY1rZTg3jT3ZxA?filename=veale-400+n+pulaski+st.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
343 Scott St.,Mary Carfagno Ferguson,Mary,Carfagno Ferguson,06/21/05 12:00 AM,"-76.62888035511713, 39.2838996318726",https://data.baltimorecity.gov/views/zqh4-9ud5/files/pTOY2ES_4Xb3JP9OXwFz_jP_RwBiwhOVlTFngTtixic?filename=Ferguson+-+343+Scott+Street.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
4000 Park Heights Ave.,Lyle and Gerald Kissack and Ross,Lyle and Gerald,Kissack and Ross,06/17/05 12:00 AM,"-76.66280278206233, 39.33472931296865",https://data.baltimorecity.gov/views/zqh4-9ud5/files/PvgjL4HXDsSsWPnYZKcevR5BgBScUI_j6176UvuZyBc?filename=kissack+%26+ross-2626+Shirley+Ave.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
